都立一時滞在施設一覧,,
,,（令和５年１月１日時点）
番号,施設名称,所在地
1,千代田都税事務所,千代田区内神田2-1-12
2,東京都中小企業振興公社,千代田区神田佐久間町1-9
3,スクワール麹町,千代田区麹町6-6
4,日比谷公園飲食店第二号（霞門横）,千代田区日比谷公園1-5
5,「緑と水」の市民カレッジ,千代田区日比谷公園1-5
6,東京国際フォーラム,千代田区丸の内3-5-1
7,一橋高等学校,千代田区東神田1-12-13
8,東京交通会館,千代田区有楽町2-10-1
9,東京舞台芸術活動支援センター,中央区日本橋箱崎町18-14
10,晴海総合高等学校,中央区晴海1-2-1
11,ニューピア竹芝ノースタワー(ニューピアホール),港区海岸1-11-1
12,ホテルアジュール竹芝,港区海岸1-11-2
13,島しょ農林水産総合センター,港区海岸2-7-104
14,東京港建設事務所,港区港南3-9-56
15,お台場海浜公園,港区台場１丁目
16,台場フロンティアビル,港区台場2-3-2
17,三田高等学校,港区三田1-4-46
18,東京都立中央図書館,港区南麻布5-7-13
19,芝商業高等学校,港区海岸1-8-25
20,六本木高等学校,港区六本木6-16-36
21,産業貿易センター浜松町館,港区海岸1-7-1
22,淀橋市場,新宿区北新宿4-2-1
23,総合芸術高等学校,新宿区富久町22-1
24,東京都庁第一本庁舎,新宿区西新宿2-8-1
25,東京都庁第二本庁舎,新宿区西新宿2-8-1
26,東京都議会議事堂,新宿区西新宿2-8-1
27,新宿都税事務所,新宿区西新宿7-5-8
28,消防博物館,新宿区四谷3-10
29,戸山高等学校,新宿区戸山3-19-1
30,中央・城北職業能力開発センター,文京区後楽1-9-5
31,教職員研修センター,文京区本郷1-3-3
32,小石川中等教育学校,文京区本駒込2-29-29
33,向丘高等学校,文京区向丘1-11-18
34,竹早高等学校,文京区小石川4-2-1
35,工芸高等学校,文京区本郷1-3-9
36,忍岡高等学校,台東区浅草橋5-1-24
37,浅草高等学校,台東区今戸1-8-13
38,東京文化会館,台東区上野公園5-45
39,上野グリーンサロン,台東区上野公園7-47
40,東京都美術館,台東区上野公園8-36
41,台東都税事務所,台東区雷門1-6-1
42,蔵前工業高等学校,台東区蔵前1-3-57
43,産業貿易センター台東館,台東区花川戸2-6-5
44,白鴎高等学校,台東区元浅草1-6-22
45,上野高等学校,台東区上野公園10-14
46,皮革技術センター,墨田区東墨田3-3-14
47,墨田川高等学校,墨田区東向島3-34-14
48,本所都民防災教育センター,墨田区横川4-6-6
49,両国高等学校,墨田区江東橋1-7-14
50,日本橋高等学校,墨田区八広1-28-21
51,橘高等学校,墨田区立花4-29-7
52,本所高等学校,墨田区向島3-37-25
53,産業技術研究センター本部,江東区青海2-4-10
54,タイム２４ビル,江東区青海2-4-32
55,テレコムセンタービル,江東区青海2-5-10
56,東京国際展示場,江東区有明3-11-1
57,TFTビル,江東区有明3-6-11 
58,有明パークビル,江東区有明3-7-11
59,有明フロンティアビル,江東区有明3-7-26
60,江東都税事務所,江東区大島3-1-3
61,大江戸高等学校,江東区千石3-2-11
62,東京辰巳国際水泳場　,江東区辰巳2-8-10
63,深川高等学校,江東区東陽5-32-19
64,計量検定所,江東区新砂3-3-41
65,東京都現代美術館,江東区三好4-1-1
66,若洲海浜公園ヨット訓練所　,江東区若洲3-1-1
67,墨田工業高等学校,江東区森下5-1-7
68,有明テニスの森公園テニス施設,江東区有明2-2-22
69,第三商業高等学校,江東区越中島3-3-1
70,豊洲市場,江東区豊洲6-6-１
71,海の森水上競技場,江東区海の森3-6-44
72,有明アリーナ,江東区有明1-11-1
73,東京アクアティクスセンター,江東区辰巳2-2-1
74,東京都廃棄物埋立管理事務所,江東区海の森2-4-76
75,東京都立産業技術高等専門学校　品川キャンパス,品川区東大井1-10-40
76,城南職業能力開発センター,品川区東品川3-31-16
77,大井ふ頭中央海浜公園（スポーツセンター）,品川区八潮4-1-19
78,小山台高等学校,品川区小山3-3-32
79,大崎高等学校,品川区豊町2-1-7
80,品川都税事務所,品川区広町2-1-36 品川区総合庁舎内
81,大井ふ頭中央海浜公園ホッケー競技場,品川区八潮4-1-19、大田区東海1-2-1
82,東京都写真美術館,目黒区三田1-13-3
83,駒場高等学校,目黒区大橋2-18-1
84,桜修館中等教育学校,目黒区八雲1-1-2
85,国際高等学校,目黒区駒場2−19−59
86,産業技術研究センター城南支所,大田区南蒲田1-20-20
87,大田桜台高等学校,大田区中馬込3-11-10
88,大田市場,大田区東海3-2-1
89,京浜島勤労者厚生会館,大田区京浜島2-9
90,世田谷市場,世田谷区大蔵1-4-1
91,世田谷総合高等学校,世田谷区岡本2-9-1
92,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1
93,松原高等学校,世田谷区桜上水4-3-5
94,総合工科高等学校,世田谷区成城9-25-1
95,園芸高等学校,世田谷区深沢5-38-1
96,深沢高等学校,世田谷区深沢7-3-14
97,東京ウィメンズプラザ,渋谷区神宮前5-53-67
98,東京体育館　,渋谷区千駄ヶ谷1-17-1
99,青山高等学校,渋谷区神宮前2-1-8
100,広尾高等学校,渋谷区東4-14-14
101,第一商業高等学校,渋谷区鉢山町8-1
102,稔ヶ丘高等学校,中野区上鷺宮5-11-1
103,中野都税事務所,中野区中野4-6-15
104,鷺宮高等学校,中野区若宮3-46-8
105,武蔵丘高等学校,中野区上鷺宮2-14-1
106,富士高等学校,中野区弥生町5-21-1
107,杉並高等学校,杉並区成田西4-15-15
108,豊多摩高等学校,杉並区成田西2-6-18
109,農芸高等学校,杉並区今川3-25-1
110,豊島市場,豊島区巣鴨5-1-5
111,東京芸術劇場,豊島区西池袋1-8-1
112,池袋都民防災教育センター,豊島区西池袋2-37-8
113,労働相談情報センター池袋事務所,豊島区東池袋4-23-9
114,文京高等学校,豊島区西巣鴨1-1-5
115,豊島高等学校,豊島区千早4-9-21
116,千早高等学校,豊島区千早3-46-21
117,東京都障害者総合スポーツセンター　,北区十条台1-2-2
118,王子総合高等学校,北区滝野川3-54-7
119,中央・城北職業能力開発センター赤羽校,北区西が丘3-7-8
120,赤羽北桜高等学校,北区西が丘3-14-20
121,荒川都税事務所,荒川区西日暮里2-25-1
122,東京都立大学　荒川キャンパス,荒川区東尾久7-2-10
123,荒川工業高等学校,荒川区南千住6-42-1
124,板橋市場,板橋区高島平6-1-5
125,板橋有徳高等学校,板橋区徳丸2-17-1
126,中央・城北職業能力開発センター板橋校,板橋区舟渡2-2-1
127,板橋高等学校,板橋区大谷口1-54-1
128,板橋都税事務所,板橋区大山東町44-8
129,北豊島工業高等学校,板橋区富士見町28-1
130,北園高等学校,板橋区板橋4-14-1
131,大山高等学校,板橋区小茂根5-18-1
132,練馬高等学校,練馬区春日町4-28-25
133,第四商業高等学校,練馬区貫井3-45-19
134,練馬工業高等学校,練馬区早宮2-9-18
135,光丘高等学校,練馬区旭町2-1-35
136,井草高等学校,練馬区上石神井2-2−43
137,石神井高等学校,練馬区関町北4-32-48
138,大泉高等学校,練馬区東大泉5-3-1
139,練馬都税事務所,練馬区豊玉北6-13-10
140,北足立市場,足立区入谷6-3-1
141,足立東高等学校,足立区大谷田2-3-5
142,足立西高等学校,足立区江北5-7-1
143,足立新田高等学校,足立区新田2-10-16
144,足立都税事務所,足立区西新井栄町2-8-15
145,足立市場,足立区千住橋戸町50
146,淵江高等学校,足立区東保木間2-10-1
147,東京武道館　,足立区綾瀬3-20-1
148,城東職業能力開発センター,足立区綾瀬5-6-1
149,足立工業高等学校,足立区西新井4-30-1
150,産業技術研究センター城東支所,葛飾区青戸7-2-5
151,南葛飾高等学校,葛飾区立石6-4-1
152,葛西工業高等学校,江戸川区一之江7-68-1
153,城東職業能力開発センター江戸川校,江戸川区中央2-31-27
154,江戸川都税事務所,江戸川区中央4-24-19
155,篠崎高等学校,江戸川区東篠崎1-10-1
156,葛西市場,江戸川区臨海町3-4-1
157,江戸川高等学校,江戸川区松島2-38-1
158,葛西南高等学校,江戸川区南葛西1-11-1
159,小松川高等学校,江戸川区平井1-27-10
160,カヌー・スラロームセンター,江戸川区臨海町6-1-1
161,八王子拓真高等学校,八王子市台町3-25-1
162,多摩職業能力開発センター八王子校,八王子市台町1-11-1
163,松が谷高等学校,八王子市松が谷1772
164,東京都立大学　南大沢キャンパス,八王子市南大沢1-1
165,南多摩中等教育学校,八王子市明神町4-20-1
166,八王子桑志高等学校,八王子市千人町4-8-1
167,八王子北高等学校,八王子市楢原町601
168,富士森高等学校,八王子市長房町420−2
169,翔陽高等学校,八王子市館町 1097-136
170,多摩産業交流センター,八王子市明神町3-19-2
171,立川国際中等教育学校,立川市曙町3-29-37
172,立川都民防災教育センター（立川防災館）,立川市泉町1156-1
173,立川都税事務所,立川市錦町4-6-3　東京都立川合同庁舎内
174,東京都農林水産振興財団（立川庁舎）,立川市富士見町3-8-1
175,立川高等学校,立川市錦町2-13-5
176,三鷹中等教育学校,三鷹市新川6-21-21
177,多摩高等学校,青梅市裏宿町580
178,東京都青梅合同庁舎,青梅市河辺町6-4-1
179,東京都農林水産振興財団（青梅庁舎）,青梅市新町6-7-1
180,青梅総合高等学校,青梅市勝沼1-60-1
181,府中東高等学校,府中市押立町4-21
182,府中工業高等学校,府中市若松町2-19-1
183,農業高等学校,府中市寿町1-10-2
184,府中高等学校,府中市栄町3-3-1
185,多摩職業能力開発センター府中校,府中市南町4-37-2
186,府中西高等学校,府中市日新町4-6-7
187,産業技術研究センター多摩テクノプラザ,昭島市東町3-6-1
188,多摩職業能力開発センター,昭島市東町3-6-33
189,昭和高等学校,昭島市東町2-3-21
190,味の素スタジアム（調布庁舎）,調布市西町376-3
191,調布南高等学校,調布市多摩川6-2-1
192,武蔵野の森総合スポーツプラザ,調布市西町290-11
193,町田工業高等学校,町田市忠生1-20-2
194,町田総合高等学校,町田市木曽西3-5-1
195,成瀬高等学校,町田市成瀬7-4-1
196,町田高等学校,町田市中町4-25-3
197,小川高等学校,町田市小川2-1002-1
198,江戸東京たてもの園,小金井市桜町3-7-1
199,多摩科学技術高等学校,小金井市本町6-8-9
200,小金井北高等学校,小金井市緑町4-1-1
201,立川都税事務所小平都税支所,小平市花小金井1-6-20
202,小平西高等学校,小平市小川町1-502-95
203,小平高等学校,小平市仲町112
204,小平南高等学校,小平市上水本町6-21-1
205,日野台高等学校,日野市大坂上4-16-1
206,東京都立大学　日野キャンパス,日野市旭が丘6-6
207,南平高等学校,日野市南平8-2-3
208,東村山高等学校,東村山市恩多町4-26-1
209,多摩図書館,国分寺市泉町2-2-26
210,国分寺高等学校,国分寺市新町3-2-5
211,国立高等学校,国立市東4-25-1
212,東京都多摩障害者スポーツセンター　,国立市富士見台2-1-1
213,第五商業高等学校,国立市中3-4-1
214,福生高等学校,福生市北田園2-11-3
215,多摩工業高等学校,福生市熊川215
216,東大和高等学校,東大和市中央3-945
217,清瀬高等学校,清瀬市松山3-1-56
218,東久留米総合高等学校,東久留米市幸町5-8-46
219,上水高等学校,武蔵村山市大南4-62-1
220,武蔵村山高等学校,武蔵村山市中原1-7-1
221,永山高等学校,多摩市永山5-22
222,多摩ニュータウン市場,多摩市永山7-4
223,若葉総合高等学校,稲城市坂浜1434-3
224,羽村高等学校,羽村市羽4152-1
225,五日市高等学校,あきる野市五日市894
226,秋留台高等学校,あきる野市平沢153-4
227,瑞穂農芸高等学校,瑞穂町石畑2027